"owner","name","commit_sha","repo_id"
"007gzs","dingtalk-sdk","7979da2e259fdbc571728cae2425a04dbc65850a","132439748"
"173TECH","sayn","697262165c9b8005aad48e3cf6f80592d352c1d8","257889828"
"20c","vaping","285c4252d83cd4a41648a6e736a959ae0d9640b8","65013811"
"23andMe","Yamale","085a4e61305d0e2df46ab00445ad64ea143382a7","16274633"
"23andMe","seqseek","24c15a6eb410f500c352d578e8448d83a0047f26","50657780"
"40ants","therepl","cca6d537180bd1cf2274282725666a77f33f9afd","216167208"
"4Catalyzer","flask-resty","ef9e5c412f4ef4eed3a445d0e284f0593a365555","39663289"
"4teamwork","docxcompose","929b9538ddf99f2f26c649e4f93447c6ac79be7a","99577319"
"5hirish","adam_qas","c5d4f472836ef8caf84756182c2a398d583ed5b8","51374946"
"6si","shipwright","f6fb93f82a83ddb856ab1a421c382302ac2e2e19","22346964"
"9and3r","mopidy-touchscreen","c483a122bcae9fbe14a3941c8d58a56be62698b7","21817087"
"APSL","kaneda","739db48588d2237dd7710b16f23921d489182868","57992238"
"APSL","puput","c991d895c9c0c1facd02a5faa653d0953d6c96aa","39860842"
"APrioriInvestments","typed_python","6642e3a9ad17c3035ee548abaf382b4d344db24d","104091368"
"AXErunners","electrum-axe","7ef05088c0edaf0688fb167df353d6da619ebf2f","124705752"
"Abdur-rahmaanJ","shopyo","36c9a038d8777f767a373d88b1aca85264accd66","193967619"
"AdrianVollmer","PowerHub","faf39c34a3299f1c6da6eba9992f6a7c36b951ac","142741112"
"Adys","django-push-notifications","08af89d96f82d17318de482ecf3b3eaa34192a26","8788941"
"AeroPython","scikit-aero","06958096c04183cde87a7e8a6cd7c016eb9140b3","6528714"
"Alexmod","Flask-User-and-Flask-admin","daf48b4e5ad954f4abab733714829c08fe25ae48","122168475"
"AlgoTraders","stock-analysis-engine","10d296b8352af4e13b92a73757056e50bb79ebb6","149031098"
"Alignak-monitoring","alignak","fcc3d6499478ce67f4b91c694111f45cc8282535","35242228"
"Alir3z4","html2text","2ee4495f33c793a110e5fa918b3d8f94b891b24a","17001672"
"AllenCellModeling","aicsimageio","f3d8f9d474e791d8e1544addbc88d0802f19aae2","194131198"
"AllenCellModeling","pytorch_fnet","64c53d123df644cebe5e4f7f2ab6efc5c0732f4e","94270882"
"AltSchool","dynamic-rest","aa765117247a16d9a5acc8c60165febcae851900","31736312"
"AnalogJ","lexicon","a24bb04f6c1c3738942c7ee862acef6bbc27a21c","50903853"
"AndrewIngram","django-extra-views","96b8c68cd6564df434c3c87e4295e6acd517cb27","1757853"
"Anorov","PySocks","c2fa43cbe1091e799e248e8e4433978916791a8b","3502340"
"AnthonyDiGirolamo","todotxt-machine","04a0306ea30c2645f2474da5830852ccd8e49082","13669219"
"ApplauseOSS","djangoevents","8307ac0bfb193db3a8e2199559b53caf5df3bebf","79266870"
"AsynkronIT","protoactor-python","94bb4220bbef7a7cee50f6829fcf4d4362e487c6","80831474"
"AustEcon","bitsv","96d26e02718fa7529e64f865dff179a7f5d5a4fe","167746495"
"AustralianSynchrotron","lightflow","dc53dbc1d961e20fb144273baca258060705c03e","94850605"
"Avature","confight","be2d162c99cc3c709289913de137f8d8bfbd35d5","136156948"
"Axiacore","cachet-uptime-robot","e5d7896d171010656aeca9ac1faef4726a0d58d7","65223325"
"Azure","azure-cosmos-python","02522666b37ec24acfbd0537878eda73c90d2442","22739277"
"Azure","azure-iot-cli-extension","1bb942c7b032f04ff0c507207301a4d7b58db226","103456760"
"Azure","iotedgedev","7ef7125fcd10b835b540f6f66666b464662a7f7d","115764143"
"Azure","iotedgehubdev","0673511c26d24c1f749361e683c1e4a3a2f4f0ef","138967965"
"BBVA","chaos-monkey-engine","f4f5fbe04b57e82b3ce1bba5469c27a2ba89ea01","81324935"
"BCG-Gamma","facet","1053fb4e9a2b81c11226c91a3fdd79e1db63a988","285236885"
"BIMSBbioinfo","janggu","5128419cf404d8f1904d46c627c0c7963356fff1","134406154"
"BTCP-community","electrum-zcl","4694a655928a19fcd21b67164fcbd7e6911d1739","117377606"
"BTCPrivate","electrum-btcp","709449fc32f4789374781b120f7f4ba0864fde09","122287856"
"BYU-PCCL","holodeck","521c1c828f47abe7fc24b027fb907eaf26495aed","70286597"
"Backfeed","backfeed-protocol","c996f8556fea5a94a38ab8b7e8b184795847a4e7","55885653"
"BaderLab","saber","876be6bfdb1bc5b18cbcfa848c94b0d20c940f02","121638656"
"BayooG","bayoo-docx","623ab28c464eaac32138c1e90eb202e51c4b5066","161025910"
"BenWhetton","keras-surgeon","b0b892988e725b9203afc48e639c49d06155b59b","101084892"
"BerkeleyLearnVerify","Scenic","23a2b371eaf7fe23842db2b65c16956e070c80f3","170370724"
"BerkeleyLearnVerify","VerifAI","94f0df1667673fca280e2249f4046ab797118aae","169495137"
"BinaryAnalysisPlatform","bap-ida-python","d8d4679de2f50bb75f556419565821d95404034e","60867187"
"BindsNET","bindsnet","06222d85f61c74456ca46551bfa10bb0c157482c","120948040"
"BingAds","BingAds-Python-SDK","36858d532f17aa1fdc22a5d7f06159667363b8e3","31927550"
"BishopFox","deephack","3a0b837130cbfa000c4f3a33798affd93dc31d17","83625711"
"BlueBrain","BluePyOpt","6d4185479bc6dddb3daad84fa27e0b8457d69652","51756569"
"BlueBrain","NeuroM","5a4885910fbeff3da85fedf6b9252cb60e8f332b","34906350"
"BoboTiG","pombo","d4adb067f1c7822a6f79b31e83138a33cbc04ee6","5206723"
"BoboTiG","python-mss","7b5cff83715b6f2f4c1e46a184c73be2b7657263","11100375"
"Bogdanp","django_dramatiq","5868f844c11201b4c74743ecdbe2dfc463984d66","108956841"
"Bogdanp","dramatiq","75579439172ea126efb4f83c753b0b513afb03ad","92827980"
"BradenM","micropy-cli","1b5b7d626cf8de6426cd45020ec26431247e9044","187111878"
"Brogency","drf-writable-nested","f47765da8b260c5466743c6788332c6f6ae02a0d","82379726"
"BuffetCode","edinet_xbrl","f72d57e52bf25cc2b8c0db9324a3bbb9eff811c8","118321003"
"CAMeL-Lab","camel_tools","dd6f56a7a29339eb9e8ae3d09759f61af9532d0b","105870773"
"CFMTech","pytest-monitor","f83281b9f0b8b63946b5cac84894647626c7f866","238016177"
"CFSworks","limeade","015be4af0e0d365811e74af0ddc1df06b64f9b40","211341796"
"CSRedRat","topalias","0d29a7bca636f458f34e2d3769aaf6e7609798d9","420374319"
"Cadasta","cadasta-platform","b1b7e9662d7a241ea1275a61137c781d14e307ff","45993428"
"Canisback","roleML","cb32d242d495fb31e1be11a90235cfa878f33cd3","169110481"
"CartoDB","cartoframes","7c7392be5d15d0472ff428546c4791ed1a3842b0","83072729"
"CastagnaIT","plugin.video.netflix","4a97b5fa7475d388e3606bb5ac529aeff9c14234","164314803"
"Ceasar","staticjinja","4e3e42d6d26e0ed5d36b39260b76e9c637677b02","5903845"
"Ceasar","twosheds","55b0a207e3a06b85e9a9567069b3822a651501a7","4950472"
"CenterForTheBuiltEnvironment","pythermalcomfort","9cc48435320041514df162f4b5d76728e90c86c7","239588350"
"Changaco","python-libarchive-c","8256dba743dc4f777ab31ae96222af548fb78957","22785341"
"CheesecakeLabs","django-nomad","c0bbdee0c698340f4c0eb41d13d2995e220ab755","94721396"
"ChillarAnand","stocktrends","b1272ca8f96ee01b411b37eb3f830a2dd6810a8a","120456536"
"Chive","django-multiupload","ce9a5a2dec0158ce4398a38b2e1335c7f5a43586","21527116"
"ChrisTheCoolHut","Zeratool","6403e96ebd70286709c88f9b95a22c15c218ef7e","138416745"
"CircleUp","aresponses","b9deaa9c633b7ee0cab950fc8eee8a8d3c0f5d5f","102586271"
"CivicTechTO","ttc_subway_times","565cbfa898abe87bbb1e9d2fee54126dda83a9ae","78588072"
"ClearcodeHQ","ianitor","baee9b7fea6e526e70a71c6a4dce916dc9c83bc4","25817032"
"CloudPolis","webdav-client-python","2f011c543264f44d49bea56aebd2815791e7542e","25269239"
"CloverHealth","pytest-pgsql","75c7be051545ea20420557d90886cbd32eb46151","111749808"
"ClusterLabs","crmsh","caa0b2aa922a7f8260f07b5c75ec269dc75e5577","17904765"
"Cog-Creators","Red-DiscordBot","bf0fab8575d6672ff40c4ce5eba5c8ab2943d015","48904888"
"ColinDuquesnoy","QDarkStyleSheet","26c3878fff742c535058bf5d08643d0135cde2af","5525736"
"ConsenSys","mythril","58a36720f476b1a3154c1165f11126b063259457","103890505"
"Contraz","demosys-py","0479e0f3b0a3901f601bffd2d11e155f97b47555","86690477"
"CuriousLearner","django-phone-verify","9e184927dac13474e11374c561c95a08092a1f70","170570587"
"DAI-Lab","SteganoGAN","513912f3dce2fb5001f3e140ad7378dacfc2a453","147863828"
"DAI-Lab","TGAN","d5037dd4605fe8984cba1db6bfd69db7dcab2b4a","134745622"
"DLR-RM","RAFCON","9897790093e39f06c1db9b7cf27df0d1698b6e16","83153618"
"DRMacIver","hecate","25f32604365a64bde3aabef1d83b71097d93040e","41541414"
"Dallinger","Dallinger","e612c40318b4324e60266034b2c1a83e010bc821","67452779"
"DandyDev","slack-machine","1d4de5a50b167d9b5e8bb0fa758e441d4bd2c0f7","102102105"
"DartEnv","dart-env","43e5f8c17b534e180e2340ec2ef405950ad7f542","85471730"
"DataDog","datadogpy","6bf457859e23da8847291536e54b00e3b7023d5b","29940836"
"DataDog","dd-trace-py","dbcc63176892206a56e94a08fd1eeb70d4e73017","61572326"
"DataResponsibly","DataSynthesizer","d44bf8906eb9e680d3b2b8cacebe8cf7a3eccafa","80149146"
"Decalogue","chat","3c33ad986ce52168026f4ee02d2f176fa65766a6","88808149"
"DeepLcom","deepl-python","3bc6d8d6936f99d1724aaca983524972cf948ed4","387469387"
"DeepRegNet","DeepReg","9d98198f90b7011acdd3f80e96ab4b8c5ac8c9e8","269365590"
"Deepwalker","aldjemy","fe3a1ed5301908b8afcf759e5ebca56d755f97d6","2071847"
"Deepwalker","pundler","dba19d6b7b8c2bc602d1ac9c5612a5cb8125cdb4","26652102"
"Deepwalker","trafaret","924c60f6f6f7fb6a878ba4cccd5ae6893d8f86b5","99090816"
"Delgan","loguru","3d5234541c81318e7f6f725eca7bab294fe09c23","100401612"
"DiffSK","configobj","3e2f4cca81b60171e6b3e23619f6f4929a13322e","15889498"
"DigitalSlideArchive","HistomicsTK","96aade9b41986c70e279cb24bc5009f72bb1b3b0","44324447"
"Dinnerbone","mcstatus","d1c6c32c39159ae6fd46d3f17ce99a4d9f685a2a","2719020"
"DinoTools","python-overpy","5343e743e87c117531f1e321a424911ff4cee8cf","28007455"
"DinoTools","python-ssdeep","1438fdf0411a54a4e992d9e72b1d11d8670f3187","5250778"
"Doist","bitmapist","07a0c7cc58496921a59f6b04102cb694d5e1cc3b","6390826"
"Doist","todoist-python","d564db81932771541c3a718698f8018756c6091d","25685836"
"DomainTools","python_api","86959fb0fe96b798e2599eb5978a45aeb159bd2c","71191969"
"Donders-Institute","bidscoin","bc961844dee936e0ed13d800cf8b2440610e9854","130202708"
"DwangoMediaVillage","pqkmeans","129007087021e2ac962dc8f90e85bdce3b87d621","103411095"
"ESSS","conda-devenv","7d602f7b6d6291e40b9174a147e5cb3fd8d78025","77082243"
"ESSS","pytest-regressions","d58e308c0dafe4a1f54b78f300920a12690f20a5","140560683"
"Ekeany","Boruta-Shap","d0c318ddffd8ca3adbdb1acb77d05359fa814dee","255354538"
"Eleme","thriftpy","0e606f82a3c900e663b63d69f68fc304c5d58dee","16727684"
"EliotBerriot","django-dynamic-preferences","07362d97a24c26158b13a58a344feaa7193846aa","37731125"
"EmbersArc","gym","93c5ca0d3d52afdc1e21905f848f2861ad3bbf80","168192198"
"EmilStenstrom","django-components","bd16dd69ca87b55f8ffaf2d37ccfd1645a422abd","37275310"
"Emsu","prophet","ea8232a649f0f323cd5aa7b47478b986647e15e0","26614980"
"EnterpriseDB","barman","d33b484045d08855cbbbd57296b1cea838cf8432","40883045"
"Epistimio","orion","a77128df8c5c1a6fd83b545b95e3de8cf028e3e4","102697867"
"EricssonResearch","calvin-base","bc4645c2061c30ca305a660e48dc86e3317f5b6f","35876129"
"Erotemic","xdoctest","b959028696a5aa63644e2cf1d1e39f936f891ebf","104611526"
"EvoluxBR","greenswitch","82558462de6aa2c62b08cd294b9ddd78cb481a2b","52747288"
"Eyepea","aiosip","eaf8504937247dc4cae13348d5beee5d22707ed7","39439115"
"FISCO-BCOS","python-sdk","1932e1d80439155a9ec1b4b6d940fec12d8ec98e","194997013"
"FPGAwars","apio","4b63c7e8e8c3dc9275df66bc80459cc65f78a3e1","51361989"
"FabriceSalvaire","CodeReview","c48433467ac2a9a14b9c9026734f8c494af4aa95","18414836"
"FabriceSalvaire","PySpice","1fb97dc21abcf04cfd78802671322eef5c0de00b","17987999"
"FedericoCeratto","bottle-cork","3690357e79921ada3088abe9791b0d2af531656c","3964172"
"FelixTheC","strongtyping","51845a24f998add549f7148aa05a8f0ef0da6845","260483092"
"Feneric","doxypypy","a739b1289bbba7bd56caeb7b06d9b7f1883c0a3b","10363686"
"Finnhub-Stock-API","finnhub-python","80913dee0bdf8c7521e730969e2fb8096b3d858c","265694118"
"Flask-Middleware","flask-security","c68fca7b2de0496250ead42336a4a3a1420fb8fa","56553990"
"FlyRanch","figurefirst","aa876e09d8b644a34e70fae94fe183baba3ce322","58682527"
"Frozenball","pytest-sugar","330900a3342f6256d5237302b7f56ca8d0148217","10950375"
"GIScience","openrouteservice-py","ed5e5cd8ec406fad05381bf7bda64a77ce4bfe89","119974379"
"GOVCERT-LU","eml_parser","e3f7cbb66f3619d940c39a7f751fa62457f8832f","9742606"
"GadgetReactor","pyHS100","e03c192c8ca5a22116fd7605151d8bb10d0255e1","62792596"
"Galvant","InstrumentKit","6d216bd7f8e9ec7918762fe5fb7a306d5bd0eb1f","9784110"
"GehirnInc","python-jwt","fd684745b2de884a32e6d7a423e659e4d262fb27","18668411"
"Genymobile","copydeps","1ad4f65b25559032d88860148806d6804c47b890","94978462"
"GerritCodeReview","git-repo","4a478edb443864561089b2699c9e65c85fc5e036","47751782"
"GoogleCloudPlatform","functions-framework-python","6f4a3608634debe0833d0ef5cd769050b5fecb01","231433569"
"Gorialis","jishaku","cf6dd32f3b2693067540b1a5247ecbb41b49e104","110757396"
"GreenBuildingRegistry","usaddress-scourgify","e2990ae01c9b8cdb28a3077070c17ca4726c9cbe","121785942"
